"source_row","book_id","author_surname","gender","book_title","genre","binding","notes","retail_price","royalty_rate","contract_terms","publisher","publication_year","author_id","raw_royalty_rate","raw_retail_price","raw_unlabeled","raw_publisher"
4,"EWB1896A","Brodhead","Female","One of the Visconti","Novel","Cloth","1896",0.75,0.1,,"Scribner's",1896,"EWB",".10",".75","","Scribner"
7,"HHB1890A","Boyeson","Male","Against Heavy Odds","Novel","Cloth","1890",1,0.1,"10%","Scribner's",1890,"HHB",".10","1.00","","Scribner"
8,"HB1894B","Boyeson","Male","Against Heavy Odds","Novel","Cloth","1894; Unlabeled: new edn",1.25,0.1,,,1894,"HB",".10","1.25","new edn",""
9,"HHB1874A","Boyeson","Male","Gunnar","Novel","Cloth","Publisher note: transferred from J. R. Osgood",,,,"Scribner's",1874,"HHB","","","","Scribner [transferred from J. R. Osgood]"
10,"HHB1894A","Boyeson","Male","Norseland Tales","Short Story Collection/Novella","Cloth","1894",,,,"Scribner's",1894,"HHB","","","","Scribner"
11,"HHB1877A","Boyeson","Male","Tales from Two Hemisphers","Short Story Collection/Novella","Cloth","1880; Publisher note: transferred from J.R. Osgood; orig. pub 1877",,,,"Scribner's",1877,"HHB","","","","Scribner [transferred from J.R. Osgood; orig. pub 1877]"
13,"MLB1895A","Branch","Female","The Kanter Girls","Novel","Cloth","1895",1.5,0.1,"10% after 1000 copies","Scribner's",1895,"MLB",".10","1.50","","Scribner"
15,"HCB1887A","Bunner","Male","Story of a. New York House","Novel","Cloth","1887",1.25,0.15,,"Scribner's",1887,"HCB",".15","1.25","","Scribner"
16,"HCB1891A","Bunner","Male","Zadoc Pine","Short Story Collection/Novella","Cloth","1891",1,0.15,,"Scribner's",1891,"HCB",".15","1.00","","Scribner"
17,"HCB1891B","Bunner","Male","Zadoc Pine","Short Story Collection/Novella","Paper",,0.5,0.1,,"Scribner's",1891,"HCB",".10",".50","","Scribner"
18,"HCB1886A","Bunner","Male","The Midge","Novel","Cloth","1886",1,0.15,"500 advance royalty; 15% after 3000 copies","Scribner's",1886,"HCB",".15","1.00","","Scribner"
19,"HCB1886B","Bunner","Male","The Midge","Novel","Paper",,0.5,,,"Scribner's",1886,"HCB","",".50","","Scribner"
20,"HCB1884A","Bunner","Male","Airs from Arcady","Poetry","Cloth","1884",1.25,0.1,,"Scribner's",1884,"HCB",".10","1.25","","Scribner"
21,"HCB1896A","Bunner","Male","Jersey Street & Jersey Land","Short Story Collection/Novella","Cloth","1896",1.25,0.15,,"Scribner's",1896,"HCB",".15","1.25","","Scribner"
22,"HCB1896B","Bunner","Male","Love in Old Cloathes","Short Story Collection/Novella","Cloth","1896",1.5,0.15,,"Scribner's",1896,"HCB",".15","1.50","","Scribner"
25,"FHB1886A","Burnett","Female","Little Lord Fauntleroy","Novel","Cloth","1886",2,0.125,"12-1/2%","Scribner's",1886,"FHB",".125","2.00","","Scribner"
26,"FHB1888A","Burnett","Female","Sara Crewe","Short Story Collection/Novella","Cloth","1888",1,,,"Scribner's",1888,"FHB","","1.00","","Scribner"
27,"FHB1889A","Burnett","Female","The Pretty Sister of Jose","Novel","Cloth","1889",1,,,"Scribner's",1889,"FHB","","1.00","","Scribner"
28,"FHB1877A","Burnett","Female","That Lass O’ Lowries","Novel","Cloth","1877",,,,"Scribner's",1877,"FHB","","","","Scribner"
29,"FHB1877B","Burnett","Female","Surly Tim","Short Story Collection/Novella","Cloth","1877",,0.1,,"Scribner, Armstrong & Co.",1877,"FHB",".10","","","Scribner, Armstrong & Co."
30,"FHB1878A","Burnett","Female","Lindsay’s Luck","Short Story Collection/Novella","Cloth","1878",,,,"Scribner's",1878,"FHB","","","","Scribner"
